Semester Admitted,Department,Major,CSCI101_Pass_Sem,CSCI101_Tran_Sem,CSCI128_Pass_Sem,CSCI128_Tran_Sem,CSCI200_Pass_C_Sem,CSCI200_Tran_Sem,CSCI210_Pass_Sem,CSCI220_Pass_Sem,CSCI220_Tran_Sem,CSCI261_Pass_C_Sem,CSCI261_Tran_Sem,CSCI262_Pass_Sem,CSCI262_Tran_Sem,CSCI274_Pass_Sem,CSCI306_Pass_Sem,CSCI341_Pass_Sem,CSCI358_Pass_Sem,CSCI370_Pass_Sem,CSCI400_Pass_Sem,CSCI406_Pass_Sem,CSCI442_Pass_Sem
Fall 2017,Mechanical Engineering,Mechanical Engineering,,,,,,,,,,Spring 2011,,,,,,,,,,,
Fall 2017,Electrical Enginrg & Comp Sci,Engineering - Electrical,,,,,,,,,,,Fall 2009,,,,,,,,,,
Fall 2017,Non-Degree Program Grad Level,Non-degree Graduate,,,,,,,,,,Spring 2010,,,,,,,,,,,
Fall 2017,Geophysics,Geophysical Engineering,,,,,,,,,,Spring 2010,,,,,,,,,,,
Fall 2017,Civil & Environmental Enginrng,Engineering - Environmental,,,,,,,,,,Spring 2010,,,,,,,,,,,
Fall 2017,Physics,Mechanical Engineering,,,,,,,,,,Spring 2012,,,,,,,,,,,
Fall 2017,Mechanical Engineering,Mechanical Engineering,,,,,,,,,,Spring 2013,,,,,,,,,,,
Fall 2017,Geo & Geological Engineering,Geological Engineering - M/FEx,Spring 2013,,,,,,,,,,,,,,,,,,,,
Fall 2017,Economics and Business,Environmental Engineering,,,,,,,,,,Spring 2015,,,,,,,,,,,
Fall 2017,Applied Math & Statistics,Computational & Applied Math,,,,,,,,,,,Fall 2013,,,,,,,,,,
Fall 2017,Physics,Engineering Physics,,,,,,,,,,Summer Two 2015,,,,,,,,,,,
Fall 2017,Mechanical Engineering,Mechanical Engineering,,,,,,,,,,Spring 2018,,,,,,,,,,,
Fall 2017,Economics and Business,Environmental Engineering,,,,,,,,,,Summer Two 2015,,,,,,,,,,,
Fall 2017,Geo & Geological Engineering,Hydrology,,,,,,,,,,Fall 2014,,,,,,,,,,,
Fall 2017,Mechanical Engineering,Mechanical Engineering,,,,,,,,,,Fall 2019,,,,,,,,,,,
