Semester Admitted,Major,Department,CSCI101_Pass_Sem,CSCI101_Tran_Sem,CSCI128_Pass_Sem,CSCI128_Tran_Sem,CSCI200_Pass_C_Sem,CSCI200_Tran_Sem,CSCI210_Pass_Sem,CSCI220_Pass_Sem,CSCI220_Tran_Sem,CSCI261_Pass_C_Sem,CSCI261_Tran_Sem,CSCI262_Pass_Sem,CSCI262_Tran_Sem,CSCI274_Pass_Sem,CSCI306_Pass_Sem,CSCI341_Pass_Sem,CSCI358_Pass_Sem,CSCI370_Pass_Sem,CSCI400_Pass_Sem,CSCI406_Pass_Sem,CSCI442_Pass_Sem,MATH111_Pass_Sem,MATH111_Tran_Sem,MATH112_Pass_Sem,MATH113_Pass_Sem,MATH122_Pass_Sem,MATH213_Pass_Sem,MATH214_Pass_Sem,MATH223_Pass_Sem,MATH224_Pass_Sem,MATH225_Pass_Sem,MATH235_Pass_Sem,MATH300_Pass_Sem,MATH307_Pass_Sem,MATH332_Pass_Sem,MATH342_Pass_Sem,PHGN100_Pass_Sem,PHGN100_Tran_Sem,PHGN200_Pass_Sem,CSCI404_Pass_Sem,CSCI410_Pass_Sem,CSCI422_Pass_Sem,CSCI423_Pass_Sem,CSCI425_Pass_Sem,CSCI432_Pass_Sem,CSCI436_Pass_Sem,CSCI437_Pass_Sem,CSCI440_Pass_Sem,CSCI441_Pass_Sem,CSCI443_Pass_Sem,CSCI444_Pass_Sem,CSCI445_Pass_Sem,CSCI446_Pass_Sem,CSCI448_Pass_Sem,CSCI455_Pass_Sem,CSCI470_Pass_Sem,CSCI471_Pass_Sem,CSCI473_Pass_Sem,CSCI474_Pass_Sem,CSCI475_Pass_Sem,CSCI477_Pass_Sem,CSCI478_Pass_Sem
Fall 2018,Computer Science,Computer Science,,,,,,,,,,,,,,,,,Fall 2018,,,Fall 2020,Fall 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fall 2019,,
Spring 2018,Operations Research w/Enginrng,Economics and Business,,,,,,,,,,,,Fall 2019,,,,,,,,Spring 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fall 2018,Computer Science,Computer Science,Fall 2018,,,,,,,,,,,Fall 2018,,Fall 2018,Spring 2019,Spring 2019,Fall 2019,Summer 2019,Spring 2019,Fall 2019,Fall 2019,,,,,,,,,,Fall 2018,,,,Summer 2019,,,,,Spring 2019,,,,,,,,Spring 2019,,,,Fall 2019,,,,Fall 2019,Fall 2019,,,,,
Spring 2024,STEM Education,Honors,,,,,,,,,,,,,,,Spring 2008,,,,Spring 2008,,,,,,,,,,,,,,,,,,Spring 2005,,Spring 2006,,,,,,,,,,,,,,,,,,,,,,,
Summer 2021,Computer Science,Computer Science,,,,,,,,,,,,Summer 2021,,,Fall 2021,,Fall 2021,,Spring 2022,Spring 2022,Fall 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring 2019,Undrgrnd Const & Tunnel Engin,Interdisciplinary Program,,,,,,,,,,Spring 2012,,,,,,,,,,,,,Spring 2010,Summer One 2010,,,Summer Two 2010,,,,Fall 2010,,,,,,,Spring 2010,Summer Two 2010,,,,,,,,,,,,,,,,,,,,,,,
Fall 2023,Finite Element Analysis,Interdisciplinary Program,,,,,,,,,,Spring 2017,,,,,,,,,,,,,Fall 2015,,,,,,,,,,,Fall 2016,,,,Fall 2015,,,,,,,,,,,,,,,,,,,,,,,,
Spring 2021,Space Resources,Interdisciplinary Program,,,,,,,,,,Fall 2007,,,,,,,,,,,,,,,,,,,,,,,,,,,Fall 2005,,Fall 2006,,,,,,,,,,,,,,,,,,,,,,,
Spring 2019,Electrical Engineering,Electrical Engineering,,,,,,,,,,,Fall 2007,,,,,,,,,,,,,,,Fall 2007,,,Spring 2008,,Fall 2008,,,,Fall 2015,,,Fall 2007,Fall 2008,,,,,,,,,,,,,,,,,,,,,,,
Spring 2021,Mechanical Engineering,Mechanical Engineering,,,,,,,,,,Fall 2007,,,,,,,,,,,,,,,,,Fall 2007,,,,Spring 2008,,,,,,Spring 2007,,Fall 2007,,,,,,,,,,,,,,,,,,,,,,,
Fall 2018,Physics,Physics,,,,,,,,,,Fall 2008,,,,,,,,,,,,,Fall 2007,,,,,,,Fall 2007,,Spring 2008,,,,Fall 2008,Fall 2007,,Spring 2008,,,,,,,,,,,,,,,,,,,,,,,
Fall 2018,Computer Science,Computer Science,Spring 2019,,,,,,,,,Fall 2014,,Spring 2016,,Fall 2016,Fall 2016,Spring 2016,Fall 2016,Summer 2019,Spring 2017,Fall 2018,Spring 2019,,Spring 2013,Spring 2013,,,Fall 2013,,,,Fall 2014,,,,Spring 2016,,,Spring 2013,,Spring 2019,,,,,,,,,,,,Fall 2018,,,,,Fall 2018,,Spring 2019,,Spring 2019,
Fall 2017,Mechanical Engineering,Mechanical Engineering,,,,,,,,,,Spring 2011,,,,,,,,,,,,,,Fall 2007,,,Summer One 2010,,,,Summer One 2011,,,,,,Spring 2010,,Summer Two 2010,,,,,,,,,,,,,,,,,,,,,,,
Fall 2017,Engineering & Tech Management,Economics and Business,,,,,,,,,,,Fall 2009,,,,,,,,,,,Fall 2007,,,Fall 2009,,Fall 2008,,,,Spring 2009,,,,Fall 2009,,Spring 2009,,Spring 2010,,,,,,,,,,,,,,,,,,,,,,,
Fall 2022,Computer Science,Computer Science,,,,,,,,,,Fall 2022,Spring 2022,Fall 2022,,,,Summer 2023,,,,Spring 2023,,Summer 2009,,Fall 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Summer 2021,Robotics,Interdisciplinary Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spring 2023,,,,,,,,,,,,,,,,,,,,,,
