Semester Admitted,Department,Major,id,Taken,Class,Type,Taken_Semester,Taken_Year,Admitted_Semester,Admitted_Year,Taken_Num,Admitted_Num
Fall 2017,Electrical Enginrg & Comp Sci,Computer Science,134,Fall 2017,CSCI101,Pass,Fall,2017,Fall,2017,8071,8071
Fall 2017,Geophysics,Geophysical Engineering,135,Fall 2017,CSCI101,Pass,Fall,2017,Fall,2017,8071,8071
Fall 2017,Electrical Engineering,Electrical Engineering,137,Fall 2017,CSCI101,Pass,Fall,2017,Fall,2017,8071,8071
Fall 2017,Electrical Engineering,EE-Engy & Pwr Electrncs Spclty,138,Fall 2017,CSCI101,Pass,Fall,2017,Fall,2017,8071,8071
Fall 2017,Electrical Engineering,Electrical Engineering,140,Spring 2018,CSCI101,Pass,Spring,2018,Fall,2017,8072,8071
Fall 2017,Electrical Engineering,Electrical Engineering,141,Spring 2019,CSCI101,Pass,Spring,2019,Fall,2017,8076,8071
Fall 2017,Electrical Engineering,EE-Engy & Pwr Electrncs Spclty,143,Fall 2017,CSCI101,Pass,Fall,2017,Fall,2017,8071,8071
Fall 2017,Applied Math & Statistics,Statistics,144,Fall 2017,CSCI101,Pass,Fall,2017,Fall,2017,8071,8071
Fall 2017,Applied Math & Statistics,Statistics,145,Fall 2017,CSCI101,Pass,Fall,2017,Fall,2017,8071,8071
Fall 2017,Computer Science,Computer Science,147,Fall 2017,CSCI101,Pass,Fall,2017,Fall,2017,8071,8071
Fall 2017,Electrical Engineering,Electrical Engineering,148,Fall 2017,CSCI101,Pass,Fall,2017,Fall,2017,8071,8071
Fall 2017,Electrical Engineering,EE-Intg Crcts & Elctrnc Spclty,151,Fall 2017,CSCI101,Pass,Fall,2017,Fall,2017,8071,8071
Fall 2017,Electrical Engineering,Electrical Engineering,152,Fall 2017,CSCI101,Pass,Fall,2017,Fall,2017,8071,8071
Fall 2017,Computer Science,CS-Data Science Spclty,153,Fall 2017,CSCI101,Pass,Fall,2017,Fall,2017,8071,8071
Fall 2017,Computer Science,Computer Science,156,Fall 2017,CSCI101,Pass,Fall,2017,Fall,2017,8071,8071
Fall 2017,Computer Science,Computer Science,161,Fall 2017,CSCI101,Pass,Fall,2017,Fall,2017,8071,8071
Fall 2017,Electrical Engineering,Electrical Engineering,163,Spring 2018,CSCI101,Pass,Spring,2018,Fall,2017,8072,8071
Fall 2017,Computer Science,Computer Science,167,Spring 2018,CSCI101,Pass,Spring,2018,Fall,2017,8072,8071
Fall 2017,Computer Science,CS-Research Honors Spclty,169,Fall 2017,CSCI101,Pass,Fall,2017,Fall,2017,8071,8071
Fall 2017,Electrical Engineering,Electrical Engineering,260,Fall 2017,CSCI101,Pass,Fall,2017,Fall,2017,8071,8071
Fall 2017,Civil & Environmental Enginrng,Civil Engineering,261,Fall 2017,CSCI101,Pass,Fall,2017,Fall,2017,8071,8071
Fall 2017,Electrical Engineering,EE-Intg Crcts & Elctrnc Spclty,262,Fall 2017,CSCI101,Pass,Fall,2017,Fall,2017,8071,8071
