Year_Semester,Eligible,Class,Taken
Spring 2022,2082,CSCI128,482
Fall 2021,2473,CSCI128,408
Fall 2022,2551,CSCI128,511
Spring 2023,2058,CSCI128,528
Fall 2023,2138,CSCI128,755
Spring 2024,1391,CSCI128,0
Fall 2022,2032,CSCI200,206
Fall 2023,2734,CSCI200,302
Spring 2023,2267,CSCI200,241
Spring 2024,3219,CSCI200,0
Fall 2021,1555,CSCI200,173
Spring 2022,1631,CSCI200,168
Spring 2023,1637,CSCI220,156
Fall 2023,1774,CSCI220,217
Fall 2022,1592,CSCI220,163
Fall 2021,1529,CSCI220,254
Spring 2024,1859,CSCI220,0
Spring 2022,1462,CSCI220,131
Spring 2023,2205,CSCI274,138
Fall 2021,2018,CSCI274,223
Fall 2022,2155,CSCI274,161
Fall 2023,2393,CSCI274,199
Spring 2022,1983,CSCI274,127
Fall 2021,709,CSCI306,150
Spring 2023,831,CSCI306,142
Spring 2022,826,CSCI306,194
Fall 2023,884,CSCI306,150
Fall 2022,813,CSCI306,161
Spring 2023,2366,CSCI341,137
Spring 2022,2144,CSCI341,179
Fall 2023,2547,CSCI341,125
Fall 2021,2115,CSCI341,157
Fall 2022,2273,CSCI341,124
Fall 2021,2227,CSCI358,138
Fall 2022,2859,CSCI358,165
Spring 2023,3301,CSCI358,180
Fall 2023,3598,CSCI358,174
Spring 2022,2620,CSCI358,149
Fall 2021,344,CSCI370,78
Fall 2022,464,CSCI370,102
Fall 2023,548,CSCI370,125
Spring 2022,534,CSCI400,105
Fall 2022,603,CSCI400,138
Fall 2021,503,CSCI400,123
Spring 2023,619,CSCI400,110
Fall 2023,659,CSCI400,174
Spring 2022,453,CSCI406,149
Spring 2023,561,CSCI406,158
Fall 2021,410,CSCI406,114
Fall 2023,607,CSCI406,147
Fall 2022,504,CSCI406,158
Fall 2021,397,CSCI442,91
Fall 2022,540,CSCI442,145
Fall 2023,522,CSCI442,117
Spring 2022,471,CSCI442,156
Spring 2023,539,CSCI442,188
