Year_Semester,Eligible,Class
Fall 2018,1107,CSCI128
Spring 2019,862,CSCI128
Fall 2017,628,CSCI128
Spring 2020,1474,CSCI128
Fall 2020,2166,CSCI128
Spring 2021,1800,CSCI128
Spring 2022,2082,CSCI128
Spring 2018,447,CSCI128
Fall 2021,2473,CSCI128
Fall 2019,1701,CSCI128
Fall 2022,2551,CSCI128
Summer 2021,1483,CSCI128
Summer 2022,1603,CSCI128
Spring 2023,2058,CSCI128
Summer 2023,1538,CSCI128
Summer 2019,796,CSCI128
Fall 2023,2138,CSCI128
Summer One 2018,389,CSCI128
Summer 2020,1256,CSCI128
Spring 2024,1391,CSCI128
Fall 2022,2032,CSCI200
Fall 2023,2734,CSCI200
Summer 2023,2500,CSCI200
Spring 2023,2267,CSCI200
Spring 2024,3219,CSCI200
Fall 2021,1555,CSCI200
Summer 2021,1322,CSCI200
Summer One 2018,413,CSCI200
Summer 2020,1083,CSCI200
Fall 2019,1471,CSCI200
Fall 2020,1814,CSCI200
Spring 2021,1554,CSCI200
Fall 2018,1049,CSCI200
Spring 2018,528,CSCI200
Spring 2022,1631,CSCI200
Fall 2017,552,CSCI200
Spring 2019,866,CSCI200
Summer 2022,1767,CSCI200
Summer 2019,672,CSCI200
Spring 2020,1260,CSCI200
Spring 2023,1637,CSCI220
Fall 2023,1774,CSCI220
Summer 2023,1719,CSCI220
Fall 2022,1592,CSCI220
Fall 2021,1529,CSCI220
Spring 2024,1859,CSCI220
Fall 2019,730,CSCI220
Fall 2018,368,CSCI220
Summer 2021,1337,CSCI220
Spring 2020,801,CSCI220
Summer 2020,881,CSCI220
Spring 2019,493,CSCI220
Fall 2020,1123,CSCI220
Summer Two 2018,244,CSCI220
Spring 2018,160,CSCI220
Fall 2017,108,CSCI220
Spring 2021,1257,CSCI220
Summer 2019,548,CSCI220
Summer 2022,1508,CSCI220
Spring 2022,1462,CSCI220
Fall 2018,483,CSCI274
Spring 2019,669,CSCI274
Spring 2023,2205,CSCI274
Fall 2019,987,CSCI274
Spring 2018,206,CSCI274
