Semester Admitted,Department,Major,id,Taken,Class,Type,Taken_Semester,Taken_Year,Admitted_Semester,Admitted_Year,Taken_Num,Admitted_Num,Specialty
Spring 2020,Mechanical Engineering,Mechanical Engineering,82,Spring 2020,CSCI128,Pass,Spring,2020,Spring,2020,8080,8080,N/A
Fall 2018,Mechanical Engineering,Mechanical Engineering,122,Fall 2022,CSCI128,Pass,Fall,2022,Fall,2018,8091,8075,N/A
Spring 2020,Mechanical Engineering,Mechanical Engineering,149,Spring 2020,CSCI128,Pass,Spring,2020,Spring,2020,8080,8080,Biomechanics
Fall 2019,Mechanical Engineering,Mechanical Engineering,153,Fall 2019,CSCI128,Pass,Fall,2019,Fall,2019,8079,8079,N/A
Fall 2017,Mechanical Engineering,Mechanical Engineering,164,Spring 2020,CSCI128,Pass,Spring,2020,Fall,2017,8080,8071,N/A
Fall 2019,Mechanical Engineering,Mechanical Engineering,178,Fall 2019,CSCI128,Pass,Fall,2019,Fall,2019,8079,8079,N/A
Fall 2017,Physics,Engineering Physics,192,Fall 2017,CSCI128,Pass,Fall,2017,Fall,2017,8071,8071,N/A
Fall 2018,Economics and Business,Economics,227,Fall 2019,CSCI128,Pass,Fall,2019,Fall,2018,8079,8075,Business
Fall 2020,Civil & Environmental Enginrng,Civil Engineering,235,Spring 2022,CSCI128,Pass,Spring,2022,Fall,2020,8088,8083,N/A
Fall 2017,Civil & Environmental Enginrng,Environmental Engineering,245,Fall 2017,CSCI128,Pass,Fall,2017,Fall,2017,8071,8071,N/A
Fall 2017,Mechanical Engineering,Mechanical Engineering,248,Fall 2017,CSCI128,Pass,Fall,2017,Fall,2017,8071,8071,N/A
Fall 2017,Mechanical Engineering,Mechanical Engineering,253,Fall 2018,CSCI128,Pass,Fall,2018,Fall,2017,8075,8071,N/A
Fall 2017,Chemistry,Biochemistry,254,Spring 2020,CSCI128,Pass,Spring,2020,Fall,2017,8080,8071,N/A
Fall 2017,Mechanical Engineering,Mechanical Engineering,275,Spring 2021,CSCI128,Pass,Spring,2021,Fall,2017,8084,8071,N/A
Fall 2017,Engineering Design & Society,Engineering General,285,Fall 2021,CSCI128,Pass,Fall,2021,Fall,2017,8087,8071,Individualized 
Fall 2017,Chemical & Biological Engineer,Chemical Engineering,288,Fall 2017,CSCI128,Pass,Fall,2017,Fall,2017,8071,8071,Biological Enginrng 
Fall 2018,Mechanical Engineering,Mechanical Engineering,299,Fall 2018,CSCI128,Pass,Fall,2018,Fall,2018,8075,8075,N/A
Fall 2018,Physics,Engineering Physics,303,Fall 2018,CSCI128,Pass,Fall,2018,Fall,2018,8075,8075,N/A
Spring 2020,Mechanical Engineering,Mechanical Engineering,304,Spring 2020,CSCI128,Pass,Spring,2020,Spring,2020,8080,8080,N/A
Spring 2018,Mining,Space Resources,306,Spring 2019,CSCI128,Pass,Spring,2019,Spring,2018,8076,8072,N/A
Fall 2018,Mechanical Engineering,Mechanical Engineering,317,Fall 2018,CSCI128,Pass,Fall,2018,Fall,2018,8075,8075,N/A
Fall 2017,Physics,Engineering Physics,324,Fall 2017,CSCI128,Pass,Fall,2017,Fall,2017,8071,8071,N/A
Fall 2017,Economics and Business,Engineering & Tech Management,330,Fall 2017,CSCI128,Pass,Fall,2017,Fall,2017,8071,8071,N/A
Spring 2019,Civil & Environmental Enginrng,Environmental Engineering,336,Spring 2022,CSCI128,Pass,Spring,2022,Spring,2019,8088,8076,N/A
Fall 2018,Physics,Engineering Physics,339,Fall 2018,CSCI128,Pass,Fall,2018,Fall,2018,8075,8075,N/A
Fall 2018,Mechanical Engineering,Mechanical Engineering,344,Fall 2019,CSCI128,Pass,Fall,2019,Fall,2018,8079,8075,N/A
Fall 2017,Geo & Geological Engineering,Geological Engineering,345,Fall 2017,CSCI128,Pass,Fall,2017,Fall,2017,8071,8071,GTch
Fall 2017,Mechanical Engineering,Mechanical Engineering,355,Spring 2020,CSCI128,Pass,Spring,2020,Fall,2017,8080,8071,N/A
Fall 2017,Mechanical Engineering,Mechanical Engineering,359,Spring 2020,CSCI128,Pass,Spring,2020,Fall,2017,8080,8071,N/A
Fall 2018,Physics,Nuclear Engineering,360,Fall 2018,CSCI128,Pass,Fall,2018,Fall,2018,8075,8075,N/A
Fall 2018,Mechanical Engineering,Mechanical Engineering,363,Fall 2020,CSCI128,Pass,Fall,2020,Fall,2018,8083,8075,N/A
Fall 2019,Mechanical Engineering,Mechanical Engineering,373,Spring 2020,CSCI128,Pass,Spring,2020,Fall,2019,8080,8079,N/A
Fall 2018,Mechanical Engineering,Mechanical Engineering,379,Spring 2021,CSCI128,Pass,Spring,2021,Fall,2018,8084,8075,N/A
Fall 2021,Civil & Environmental Enginrng,Civil & Environ Engineering,384,Fall 2021,CSCI128,Pass,Fall,2021,Fall,2021,8087,8087,N/A
Fall 2017,Electrical Engineering,Electrical Engineering,386,Fall 2017,CSCI128,Pass,Fall,2017,Fall,2017,8071,8071,N/A
Fall 2018,Mechanical Engineering,Mechanical Engineering,387,Fall 2018,CSCI128,Pass,Fall,2018,Fall,2018,8075,8075,N/A
Fall 2019,Engineering Design & Society,Engineering General,392,Spring 2022,CSCI128,Pass,Spring,2022,Fall,2019,8088,8079,Mus Aud Eng Rec Arts 
Fall 2017,Geophysics,Geophysical Engineering,400,Spring 2018,CSCI128,Pass,Spring,2018,Fall,2017,8072,8071,N/A
Fall 2018,Metallurgical & Materials Eng,Metallurgical & Materials Eng,401,Fall 2018,CSCI128,Pass,Fall,2018,Fall,2018,8075,8075,N/A
Fall 2020,Mechanical Engineering,Mechanical Engineering,403,Fall 2020,CSCI128,Pass,Fall,2020,Fall,2020,8083,8083,N/A
Fall 2020,Mechanical Engineering,Mechanical Engineering,413,Spring 2021,CSCI128,Pass,Spring,2021,Fall,2020,8084,8083,N/A
Fall 2019,Mechanical Engineering,Mechanical Engineering,415,Spring 2021,CSCI128,Pass,Spring,2021,Fall,2019,8084,8079,N/A
Fall 2017,Mechanical Engineering,Mechanical Engineering,418,Fall 2017,CSCI128,Pass,Fall,2017,Fall,2017,8071,8071,N/A
Fall 2017,Mechanical Engineering,Mechanical Engineering,422,Spring 2018,CSCI128,Pass,Spring,2018,Fall,2017,8072,8071,N/A
Fall 2017,Geophysics,Geophysical Engineering,427,Fall 2017,CSCI128,Pass,Fall,2017,Fall,2017,8071,8071,N/A
Fall 2018,Mechanical Engineering,Mechanical Engineering,430,Fall 2019,CSCI128,Pass,Fall,2019,Fall,2018,8079,8075,N/A
Fall 2018,Mechanical Engineering,Mechanical Engineering,433,Fall 2020,CSCI128,Pass,Fall,2020,Fall,2018,8083,8075,N/A
Fall 2017,Physics,Engineering Physics,435,Fall 2017,CSCI128,Pass,Fall,2017,Fall,2017,8071,8071,N/A
Fall 2018,Chemical & Biological Engineer,Chemical Engineering,438,Fall 2018,CSCI128,Pass,Fall,2018,Fall,2018,8075,8075,Biological Enginrng 
Fall 2019,Electrical Engineering,Electrical Engineering,439,Spring 2021,CSCI128,Pass,Spring,2021,Fall,2019,8084,8079,N/A
Fall 2019,Physics,Engineering Physics,442,Fall 2020,CSCI128,Pass,Fall,2020,Fall,2019,8083,8079,N/A
Fall 2018,Physics,Engineering Physics,446,Fall 2018,CSCI128,Pass,Fall,2018,Fall,2018,8075,8075,N/A
