Year_Semester,Taken,Class
Fall 2018,368,CSCI128
Spring 2019,85,CSCI128
Fall 2017,280,CSCI128
Spring 2020,218,CSCI128
Fall 2020,529,CSCI128
Spring 2021,331,CSCI128
Spring 2022,485,CSCI128
Spring 2018,79,CSCI128
Fall 2021,538,CSCI128
Fall 2019,382,CSCI128
Fall 2022,766,CSCI128
Summer 2021,43,CSCI128
Summer 2022,14,CSCI128
Spring 2023,536,CSCI128
Summer 2023,13,CSCI128
Summer 2019,4,CSCI128
Fall 2023,1071,CSCI128
Summer One 2018,3,CSCI128
Summer 2020,13,CSCI128
Spring 2024,11,CSCI128
Fall 2022,284,CSCI200
Fall 2023,337,CSCI200
Summer 2023,42,CSCI200
Spring 2023,243,CSCI200
Spring 2024,4,CSCI200
Fall 2021,310,CSCI200
Summer 2021,104,CSCI200
Summer One 2018,15,CSCI200
Summer 2020,89,CSCI200
Fall 2019,406,CSCI200
Fall 2020,467,CSCI200
Spring 2021,256,CSCI200
Fall 2018,339,CSCI200
Spring 2018,146,CSCI200
Spring 2022,174,CSCI200
Fall 2017,204,CSCI200
Spring 2019,218,CSCI200
Summer 2022,41,CSCI200
Summer 2019,16,CSCI200
Spring 2020,198,CSCI200
Spring 2023,158,CSCI220
Fall 2023,234,CSCI220
Summer 2023,17,CSCI220
Fall 2022,189,CSCI220
Fall 2021,259,CSCI220
Spring 2024,3,CSCI220
Fall 2019,220,CSCI220
Fall 2018,135,CSCI220
Summer 2021,74,CSCI220
Spring 2020,121,CSCI220
Summer 2020,50,CSCI220
Spring 2019,170,CSCI220
Fall 2020,212,CSCI220
Summer Two 2018,12,CSCI220
Spring 2018,91,CSCI220
Fall 2017,63,CSCI220
Spring 2021,166,CSCI220
Summer 2019,14,CSCI220
Summer 2022,24,CSCI220
Spring 2022,134,CSCI220
Fall 2018,84,CSCI274
Spring 2019,128,CSCI274
Spring 2023,138,CSCI274
Fall 2019,159,CSCI274
Spring 2018,50,CSCI274
Spring 2020,114,CSCI274
Fall 2017,28,CSCI274
Fall 2021,223,CSCI274
Fall 2022,161,CSCI274
Spring 2021,137,CSCI274
Fall 2023,199,CSCI274
Fall 2020,185,CSCI274
Spring 2022,127,CSCI274
Spring 2019,93,CSCI306
Fall 2021,150,CSCI306
Fall 2017,39,CSCI306
Spring 2023,142,CSCI306
Spring 2022,194,CSCI306
Fall 2019,106,CSCI306
Fall 2018,48,CSCI306
Spring 2018,44,CSCI306
Fall 2020,157,CSCI306
Spring 2021,143,CSCI306
Spring 2020,107,CSCI306
Fall 2023,150,CSCI306
Fall 2022,161,CSCI306
Spring 2019,97,CSCI341
Summer 2023,10,CSCI341
Fall 2018,74,CSCI341
Spring 2023,137,CSCI341
Spring 2022,179,CSCI341
Fall 2020,128,CSCI341
Fall 2023,125,CSCI341
Fall 2019,106,CSCI341
Spring 2020,127,CSCI341
Spring 2018,43,CSCI341
Fall 2017,32,CSCI341
Spring 2021,143,CSCI341
Fall 2021,157,CSCI341
Fall 2022,124,CSCI341
Fall 2018,45,CSCI358
Fall 2019,106,CSCI358
Fall 2021,138,CSCI358
Fall 2022,165,CSCI358
Spring 2019,114,CSCI358
Spring 2018,48,CSCI358
Fall 2017,21,CSCI358
Spring 2023,180,CSCI358
Spring 2021,145,CSCI358
Spring 2020,97,CSCI358
Fall 2023,174,CSCI358
Fall 2020,135,CSCI358
Spring 2022,149,CSCI358
Summer 2019,77,CSCI370
Summer 2020,108,CSCI370
Fall 2019,43,CSCI370
Summer One 2018,44,CSCI370
Summer 2021,134,CSCI370
Fall 2021,78,CSCI370
Fall 2020,61,CSCI370
Summer 2022,152,CSCI370
Fall 2022,102,CSCI370
Fall 2023,125,CSCI370
Summer 2023,120,CSCI370
Spring 2019,36,CSCI400
Spring 2022,105,CSCI400
Spring 2020,34,CSCI400
Spring 2018,9,CSCI400
Fall 2022,138,CSCI400
Fall 2019,29,CSCI400
Fall 2018,16,CSCI400
Fall 2017,9,CSCI400
Fall 2021,123,CSCI400
Spring 2021,74,CSCI400
Fall 2020,97,CSCI400
Spring 2023,110,CSCI400
Fall 2023,174,CSCI400
Fall 2020,122,CSCI406
Spring 2019,57,CSCI406
Fall 2019,94,CSCI406
Spring 2022,149,CSCI406
Fall 2018,55,CSCI406
Spring 2023,158,CSCI406
Spring 2020,70,CSCI406
Spring 2018,26,CSCI406
Spring 2021,133,CSCI406
Fall 2017,21,CSCI406
Fall 2021,114,CSCI406
Fall 2023,147,CSCI406
Fall 2022,158,CSCI406
Fall 2019,49,CSCI442
Fall 2021,91,CSCI442
Spring 2019,44,CSCI442
Spring 2021,152,CSCI442
Spring 2020,59,CSCI442
Fall 2022,145,CSCI442
Fall 2018,25,CSCI442
Fall 2017,19,CSCI442
Fall 2023,117,CSCI442
Spring 2018,23,CSCI442
Spring 2022,156,CSCI442
Fall 2020,69,CSCI442
Spring 2023,188,CSCI442
Fall 2021,860,MATH111
Fall 2019,877,MATH111
Fall 2017,604,MATH111
Spring 2020,77,MATH111
Spring 2018,48,MATH111
Fall 2018,698,MATH111
Spring 2019,44,MATH111
Fall 2020,968,MATH111
Summer Two 2018,1,MATH111
Fall 2022,1109,MATH111
Spring 2022,60,MATH111
Spring 2021,15,MATH111
Summer 2021,199,MATH111
Spring 2023,64,MATH111
Summer 2022,20,MATH111
Fall 2023,819,MATH111
Summer 2023,7,MATH111
Spring 2024,13,MATH111
Summer 2020,23,MATH111
Summer One 2018,1,MATH111
Summer 2019,8,MATH111
Summer 2021,22,MATH112
Spring 2018,222,MATH112
Spring 2022,423,MATH112
Fall 2021,266,MATH112
Summer 2020,27,MATH112
Fall 2022,359,MATH112
Fall 2020,421,MATH112
Fall 2018,330,MATH112
Fall 2017,287,MATH112
Spring 2019,247,MATH112
Spring 2021,368,MATH112
Summer One 2018,4,MATH112
Fall 2019,403,MATH112
Spring 2020,252,MATH112
Summer Two 2018,4,MATH112
Summer 2019,7,MATH112
Fall 2023,236,MATH112
Spring 2023,456,MATH112
Summer 2022,27,MATH112
Summer 2023,27,MATH112
Spring 2018,160,MATH213
Fall 2021,455,MATH213
Summer One 2018,8,MATH213
Fall 2017,170,MATH213
Spring 2022,295,MATH213
Fall 2018,304,MATH213
Fall 2022,531,MATH213
Summer Two 2018,10,MATH213
Spring 2021,288,MATH213
Spring 2019,224,MATH213
Fall 2020,427,MATH213
Fall 2019,331,MATH213
Spring 2020,252,MATH213
Summer 2020,37,MATH213
Summer 2023,31,MATH213
Summer 2019,13,MATH213
Summer 2021,40,MATH213
Spring 2023,380,MATH213
Summer 2022,27,MATH213
Fall 2023,566,MATH213
Summer 2019,15,MATH332
Fall 2020,204,MATH332
Spring 2019,164,MATH332
Spring 2022,221,MATH332
Fall 2019,170,MATH332
Spring 2018,67,MATH332
Spring 2020,153,MATH332
Fall 2017,45,MATH332
Fall 2023,258,MATH332
Fall 2018,115,MATH332
Summer Two 2018,8,MATH332
Spring 2023,281,MATH332
Spring 2021,195,MATH332
Fall 2022,243,MATH332
