Major                           Specialty              Department                    
Computer Science                N/A                    Computer Science                  12832
Mechanical Engineering          N/A                    Mechanical Engineering             7537
Electrical Engineering          N/A                    Electrical Engineering             2453
Computer Science                Data Science           Computer Science                   2344
                                Computer Eng           Computer Science                   1755
Engineering Physics             N/A                    Physics                            1712
Computer Science                Robotics Intel Sys     Computer Science                   1683
Civil Engineering               N/A                    Civil & Environmental Enginrng     1362
Computer Science                N/A                    Electrical Enginrg & Comp Sci      1160
Computational & Applied Math    N/A                    Applied Math & Statistics          1052
Statistics                      N/A                    Applied Math & Statistics           800
Geophysical Engineering         N/A                    Geophysics                          672
Metallurgical & Materials Eng   N/A                    Metallurgical & Materials Eng       610
Electrical Engineering          Intg Crcts & Elctrnc   Electrical Engineering              604
Computer Science                Business               Computer Science                    575
Quantitative Biosci & Eng       N/A                    Interdisciplinary Program           574
Petroleum Engineering           N/A                    Petroleum                           566
Chemical Engineering            N/A                    Chemical & Biological Engineer      452
Environmental Engineering       N/A                    Civil & Environmental Enginrng      436
Engineering & Tech Management   N/A                    Economics and Business              371
Electrical Engineering          N/A                    Electrical Enginrg & Comp Sci       348
                                Engy & Pwr Electrncs   Electrical Engineering              302
Computer Science                Space                  Computer Science                    273
Robotics                        N/A                    Mechanical Engineering              273
Mechanical Engineering          Aerospace              Mechanical Engineering              242
Data Science                    N/A                    Interdisciplinary Program           229
Electrical Engineering          Info Sys & Science     Electrical Engineering              220
Chemical Engineering            Biological Enginrng    Chemical & Biological Engineer      218
Quantum Engineering             N/A                    Interdisciplinary Program           199
Robotics                        N/A                    Interdisciplinary Program           186
Geophysics                      N/A                    Geophysics                          170
Quantum Engineering             N/A                    Physics                             125
Chemical Engineering            Process Engineering    Chemical & Biological Engineer      121
Mechanical Engineering          N/A                    Physics                             114
Electrical Engineering          Antenn & Wirels Comm   Electrical Engineering              113
Mining Engineering              N/A                    Mining                              112
Engineering & Tech Management   N/A                    Electrical Enginrg & Comp Sci       108
Mechanical Engineering          Automotive             Mechanical Engineering              108
Statistics                      N/A                    Interdisciplinary Program           106
Business Eng & Mngmt Sci        N/A                    Economics and Business              104
Geological Engineering          GTch                   Geo & Geological Engineering         97
Hydrology                       N/A                    Interdisciplinary Program            94
Mechanical Engineering          Biomechanics           Mechanical Engineering               91
Space Resources                 N/A                    Mechanical Engineering               86
