Major                           Specialty              Department                    
Mechanical Engineering          N/A                    Mechanical Engineering            924
Computer Science                N/A                    Computer Science                  675
Electrical Engineering          N/A                    Electrical Engineering            263
Civil Engineering               N/A                    Civil & Environmental Enginrng    208
Engineering Physics             N/A                    Physics                           185
Computer Science                Data Science           Computer Science                  123
                                Computer Eng           Computer Science                   93
Computational & Applied Math    N/A                    Applied Math & Statistics          93
Computer Science                Robotics Intel Sys     Computer Science                   82
Quantitative Biosci & Eng       N/A                    Interdisciplinary Program          80
Metallurgical & Materials Eng   N/A                    Metallurgical & Materials Eng      80
Geophysical Engineering         N/A                    Geophysics                         80
Petroleum Engineering           N/A                    Petroleum                          75
Statistics                      N/A                    Applied Math & Statistics          71
Environmental Engineering       N/A                    Civil & Environmental Enginrng     67
Electrical Engineering          Intg Crcts & Elctrnc   Electrical Engineering             59
Computer Science                N/A                    Electrical Enginrg & Comp Sci      58
Chemical Engineering            N/A                    Chemical & Biological Engineer     57
Electrical Engineering          Engy & Pwr Electrncs   Electrical Engineering             41
Engineering & Tech Management   N/A                    Economics and Business             33
Computer Science                Business               Computer Science                   32
Mechanical Engineering          Aerospace              Mechanical Engineering             32
Electrical Engineering          N/A                    Electrical Enginrg & Comp Sci      31
Chemical Engineering            Biological Enginrng    Chemical & Biological Engineer     30
Geophysics                      N/A                    Geophysics                         29
Robotics                        N/A                    Mechanical Engineering             25
Electrical Engineering          Info Sys & Science     Electrical Engineering             23
Chemical Engineering            Process Engineering    Chemical & Biological Engineer     18
Mining Engineering              N/A                    Mining                             17
Data Science                    N/A                    Interdisciplinary Program          16
Robotics                        N/A                    Interdisciplinary Program          16
Quantum Engineering             N/A                    Interdisciplinary Program          14
Business Eng & Mngmt Sci        N/A                    Economics and Business             14
Mechanical Engineering          Automotive             Mechanical Engineering             14
Computer Science                Space                  Computer Science                   14
Mechanical Engineering          Biomechanics           Mechanical Engineering             14
Electrical Engineering          Antenn & Wirels Comm   Electrical Engineering             14
Engineering General             Individualized         Engineering Design & Society       13
Geological Engineering          GTch                   Geo & Geological Engineering       13
Mechanical Engineering          N/A                    Physics                            13
Quantum Engineering             N/A                    Physics                            13
Operations Research w Eng       N/A                    Interdisciplinary Program          12
Space Resources                 N/A                    Mechanical Engineering             12
Chemistry                       N/A                    Chemistry                          12
Economics                       Business               Economics and Business             11
Hydrology                       N/A                    Interdisciplinary Program          11
Statistics                      N/A                    Interdisciplinary Program          10
Hydrology                       N/A                    Civil & Environmental Enginrng      9
Biochemistry                    N/A                    Chemistry                           9
Space Resources                 N/A                    Interdisciplinary Program           8
Physics                         N/A                    Physics                             8
Nuclear Engineering             N/A                    Physics                             7
Engineering & Tech Management   N/A                    Electrical Enginrg & Comp Sci       6
Mechanical Engineering          Nuclear Energy         Mechanical Engineering              5
Statistics                      N/A                    Computer Science                    5
Product Management              N/A                    Mechanical Engineering              5
Geological Engineering          M/FEx                  Geo & Geological Engineering        5
Computer Science                Research Honors        Computer Science                    4
Data Science                    N/A                    Computer Science                    4
Ceramic Engineering             N/A                    Metallurgical & Materials Eng       4
Mineral & Energy Economics      N/A                    Economics and Business              4
Engineering General             Robotics & Automatn    Engineering Design & Society        4
Product Management              N/A                    Economics and Business              4
