year_semester,class,true,mean difference,lower difference,upper difference,mean predicted pass,lower predicted pass,upper predicted pass,actual enrollment,capacity
Fall 2021,CSCI128,408,,,,,,,474,486
Fall 2021,CSCI200,173,,,,,,,209,243
Fall 2021,CSCI220,254,,,,,,,566,619
Fall 2021,CSCI274,223,,,,,,,250,275
Fall 2021,CSCI306,150,,,,,,,158,180
Fall 2021,CSCI341,157,,,,,,,183,199
Fall 2021,CSCI358,138,,,,,,,157,164
Fall 2021,CSCI370,78,,,,,,,83,84
Fall 2021,CSCI400,123,-90.74476259708638,-0.11413882521421215,-207.23691166501283,213.74476259708638,123.11413882521421,330.2369116650128,132,123
Fall 2021,CSCI406,114,,,,,,,128,130
Fall 2021,CSCI442,91,,,,,,,125,141
Spring 2022,CSCI128,482,,,,,,,552,570
Spring 2022,CSCI200,168,,,,,,,226,240
Spring 2022,CSCI220,131,,,,,,,312,420
Spring 2022,CSCI274,127,,,,,,,151,180
Spring 2022,CSCI306,194,,,,,,,197,210
Spring 2022,CSCI341,179,,,,,,,139,140
Spring 2022,CSCI358,149,-1122.392948753037,-589.7144626435863,-1807.667526752773,1271.392948753037,738.7144626435863,1956.667526752773,163,178
Spring 2022,CSCI370,0,-795.4440066606842,-478.235981381196,-1195.771436394878,795.4440066606842,478.235981381196,1195.771436394878,0,0
Spring 2022,CSCI400,105,-539.1973016180413,-300.7356823373874,-877.4485447827956,644.1973016180413,405.7356823373874,982.4485447827956,117,126
Spring 2022,CSCI406,149,-458.5925996145837,-185.62154958559483,-808.5278973041686,607.5925996145837,334.62154958559483,957.5278973041686,176,178
Spring 2022,CSCI442,156,-512.6100565093686,-258.16609926048125,-859.4689981909078,668.6100565093686,414.16609926048125,1015.4689981909078,176,193
Fall 2022,CSCI128,511,,,,,,,559,581
Fall 2022,CSCI200,206,,,,,,,256,270
Fall 2022,CSCI220,163,,,,,,,197,222
Fall 2022,CSCI274,161,-1777.3055329981485,-883.5493161154577,-2938.927736077768,1938.3055329981485,1044.5493161154577,3099.927736077768,175,185
Fall 2022,CSCI306,161,,,,,,,164,218
Fall 2022,CSCI341,124,-1861.6355651851272,-1035.1200536533838,-2942.9414921773955,1985.6355651851272,1159.1200536533838,3066.9414921773955,147,183
Fall 2022,CSCI358,165,-1465.4744628386252,-811.7215486380253,-2315.6424517509863,1630.4744628386252,976.7215486380253,2480.6424517509863,181,190
Fall 2022,CSCI370,102,,,,,,,103,115
Fall 2022,CSCI400,138,,,,,,,149,143
Fall 2022,CSCI406,158,-627.3470709956073,-301.559644958513,-1058.5018931247328,785.3470709956073,459.559644958513,1216.5018931247328,174,170
Fall 2022,CSCI442,145,-704.0043035868277,-397.2242701040624,-1115.435603351068,849.0043035868277,542.2242701040624,1260.435603351068,149,146
Spring 2023,CSCI128,528,,,,,,,574,594
Spring 2023,CSCI200,241,,,,,,,301,300
Spring 2023,CSCI220,156,,,,,,,179,210
Spring 2023,CSCI274,138,-2328.031776479351,-1253.8260032151552,-3707.626525454285,2466.031776479351,1391.8260032151552,3845.626525454285,148,180
Spring 2023,CSCI306,142,,,,,,,146,200
Spring 2023,CSCI341,137,,,,,,,155,165
Spring 2023,CSCI358,180,-1866.5742851039654,-1072.4249504554846,-2902.291099931814,2046.5742851039654,1252.4249504554846,3082.291099931814,190,192
Spring 2023,CSCI370,0,,,,,,,0,0
Spring 2023,CSCI400,110,,,,,,,118,150
Spring 2023,CSCI406,158,,,,,,,170,170
Spring 2023,CSCI442,188,-966.5565915474513,-548.7405635259229,-1512.4413216832954,1154.5565915474513,736.7405635259229,1700.4413216832954,201,215
Fall 2023,CSCI128,755,-2475.1910313674753,-1077.8922155521768,-4250.210095155986,3230.1910313674753,1832.8922155521768,5005.210095155986,815,865
Fall 2023,CSCI200,302,-3187.5552996184415,-1584.6211848904377,-5251.770018485358,3489.5552996184415,1886.6211848904377,5553.770018485358,364,365
Fall 2023,CSCI220,217,,,,,,,235,240
Fall 2023,CSCI274,199,-2898.2851084039194,-1581.5025648022115,-4637.0735659381935,3097.2851084039194,1780.5025648022115,4836.0735659381935,210,215
Fall 2023,CSCI306,150,,,,,,,161,180
Fall 2023,CSCI341,125,,,,,,,149,153
Fall 2023,CSCI358,174,,,,,,,194,197
Fall 2023,CSCI370,125,-1538.2433297676798,-997.9820690738939,-2227.7748712416055,1663.2433297676798,1122.9820690738939,2352.7748712416055,126,120
Fall 2023,CSCI400,174,-1234.8530950146978,-732.7329460556396,-1935.0029515421274,1408.8530950146978,906.7329460556396,2109.0029515421274,176,184
Fall 2023,CSCI406,147,-1203.1808735008135,-671.4638408274468,-1913.729747281096,1350.1808735008135,818.4638408274468,2060.729747281096,164,166
Fall 2023,CSCI442,117,-1364.7680331116944,-846.0956873208015,-2065.6160493571315,1481.7680331116944,963.0956873208015,2182.6160493571315,131,180
