Select,CRN,Subj,CrseNum,Section,CMP,Credits,Title,Days,Time,Cap,Act,Rem,WL Cap,WL Act,WL Rem,XL Cap,XL Act,XL Rem,Instructors,Date,Location,Attributes
C,81734,CSCI,128,A,C,3,COMPUTER SCIENCE FOR STEM,MWF,12:00pm-12:50pm,60,0,60,25,0,25,0,0,0,Christine Liebe,08/12-12/05,AH 330,UG_Req
C,81735,CSCI,128,B,C,3,COMPUTER SCIENCE FOR STEM,MWF,12:00pm-12:50pm,70,0,70,25,0,25,0,0,0,NA,08/12-12/05,MZ 326,UG_Req
C,81736,CSCI,128,D,C,3,COMPUTER SCIENCE FOR STEM,MWF,01:00pm-01:50pm,70,0,70,25,0,25,0,0,0,NA,08/12-12/05,MZ 326,"UG_Req	"
C,81737,CSCI,128,E,C,3,COMPUTER SCIENCE FOR STEM,MWF,01:00pm-01:50pm,60,0,60,25,0,25,0,0,0,Christine Liebe,08/12-12/05,AH 330,UG_Req
C,81738,CSCI,128,H,C,3,COMPUTER SCIENCE FOR STEM,MWF,02:00pm-02:50pm,70,0,70,25,0,25,0,0,0,Robert Haven Thompson,08/12-12/05,MZ 326,UG_Req
C,81739,CSCI,128,I,C,3,COMPUTER SCIENCE FOR STEM,MWF,02:00pm-02:50pm,70,0,70,25,0,25,0,0,0,NA,08/12-12/05,CO 219,UG_Req
C,81740,CSCI,128,J,C,3,COMPUTER SCIENCE FOR STEM,MWF,03:00pm-03:50pm,70,0,70,25,0,25,0,0,0,Robert Haven Thompson,08/12-12/05,MZ 326,UG_Req
C,81741,CSCI,128,K,C,3,COMPUTER SCIENCE FOR STEM,MWF,03:00pm-03:50pm,60,0,60,25,0,25,0,0,0,Chinyere Kafi Marie Isaac-Helsop,08/12-12/05,MZ 022,UG_Req
C,81742,CSCI,128,L,C,3,COMPUTER SCIENCE FOR STEM,MWF,04:00pm-04:50pm,70,0,70,25,0,25,0,0,0,NA,08/12-12/05,MZ 326,UG_Req
C,81748,CSCI,128,M,C,3,COMPUTER SCIENCE FOR STEM,MWF,04:00pm-04:50pm,70,0,70,25,0,25,0,0,0,NA,08/12-12/05,CK 130,UG_Req
NR,81749,CSCI,200,C,C,3,FOUNDATIONAL PROGRAMMING CONCEPTS & DESIGN,MWF,09:00am-09:50am,60,0,60,25,0,25,0,0,0,Clark Scholten,08/12-12/05,MZ 026,UG_Req
NR,81750,CSCI,200,D,C,3,FOUNDATIONAL PROGRAMMING CONCEPTS & DESIGN,MWF,10:00am-10:50am,72,0,72,25,0,25,0,0,0,Jeffrey R Paone,08/12-12/05,MZ 326,UG_Req
NR,81451,CSCI,200,F,C,3,FOUNDATIONAL PROGRAMMING CONCEPTS & DESIGN,MWF,11:00am-11:50am,72,0,72,25,0,25,0,0,0,Jeffrey R Paone,08/12-12/05,MZ 326,UG_Req
NR,81452,CSCI,200,G,C,3,FOUNDATIONAL PROGRAMMING CONCEPTS & DESIGN,MWF,11:00am-11:50am,60,0,60,25,0,25,0,0,0,Clark Scholten,08/12-12/05,MZ 026,UG_Req
NR,82024,CSCI,200,B,C,3,FOUNDATIONAL PROGRAMMING CONCEPTS & DESIGN,MWF,09:00am-09:50am,72,0,72,25,0,25,0,0,0,Zibo Wang,08/12-12/05,MZ 326,UG_Req
NR,82025,CSCI,200,E,C,3,FOUNDATIONAL PROGRAMMING CONCEPTS & DESIGN,MWF,10:00am-10:50am,60,0,60,25,0,25,0,0,0,Zibo Wang,08/12-12/05,MZ 326,UG_Req
NR,81503,CSCI,220,A,C,3,DATA STRUCTURES AND ALGORITHMS,MWF,11:00am-11:50am,120,0,120,25,0,25,0,0,0,Christopher Robert Painter-Wakefield,08/12-12/05,GC PET,UG_Req
NR,81504,CSCI,220,B,C,3,DATA STRUCTURES AND ALGORITHMS,MWF,02:00pm-02:50pm,120,0,120,25,0,25,0,0,0,Christopher Robert Painter-Wakefield,08/12-12/05,GC PET,UG_Req
NR,80096,CSCI,306,A,C,3,SOFTWARE ENGINEERING,MWF,10:00am-10:50am,60,0,60,25,0,25,0,0,0,NA,08/12-12/05,CK 130,UG_Req
NR,80688,CSCI,306,C,C,3,SOFTWARE ENGINEERING,MWF,01:00pm-01:50pm,60,0,60,25,0,25,0,0,0,Kathleen Marie Kelly,08/12-12/05,MZ 026,UG_Req
NR,81463,CSCI,306,B,C,3,SOFTWARE ENGINEERING,MWF,12:00pm-12:50pm,60,0,60,25,0,25,0,0,0,Robert Haven Thompson,08/12-12/05,MZ 026,UG_Req
NR,80787,CSCI,341,A,C,3,COMPUTER ORGANIZATION,TR,12:30pm-01:45pm,150,0,150,25,0,25,0,0,0,Bo Wu,08/12-12/05,GC MET,UG_Req
NR,80584,CSCI,358,A,C,3,DISCRETE MATHEMATICS,TR,09:30am-10:45am,100,0,100,25,0,25,0,0,0,Dejun Yang,08/12-12/05,GC MET,UG_Req
